SSTI	ACI Worldwide Inc. Common Stock	United States	Technology	Computer Software: Prepackaged Software
OESX	Axcelis Technologies Inc. Common Stock	United States	Technology	Industrial Machinery/Components
MWK	AECOM Common Stock	United States	Consumer Services	Military/Government/Technical
NUE	ACM Research Inc. Class A Common Stock	United States	Technology	Industrial Machinery/Components
CVET	Accenture plc Class A Ordinary Shares (Ireland)	Ireland	Miscellaneous	Business Services
BB	ACNB Corporation Common Stock	United States	Finance	Major Banks
SFIX	Ascendant Digital Acquisition Corp. Class A Ordinary Shares	United States	Finance	Business Services
FSDC	Acorda Therapeutics Inc. Common Stock	United States	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
MBOT	Aberdeen Income Credit Strategies Fund Common Shares	United States		
MACK	Ares Commercial Real Estate Corporation Common Stock	United States	Consumer Services	Real Estate Investment Trusts
HAL	Aclaris Therapeutics Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
ATRC	AcelRx Pharmaceuticals Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
SPKE	Acasti Pharma Inc. Class A Common Stock	Canada	Health Care	Major Pharmaceuticals
BKYI	ArcLight Clean Transition Corp. Class A Ordinary Shares	United States	Finance	Business Services
RYI	Acacia Research Corporation (Acacia Tech) Common Stock	United States	Miscellaneous	Multi-Sector Companies
SPE	Acme United Corporation. Common Stock	United States	Capital Goods	Industrial Machinery/Components
FCEL	Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest	United States		
LGND	AeroCentury Corp. Common Stock	United States	Technology	Diversified Commercial Services
HCC	Adaptimmune Therapeutics plc American Depositary Shares	United Kingdom	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
TLC	Adobe Inc. Common Stock	United States	Technology	Computer Software: Prepackaged Software
APEI	Agree Realty Corporation Common Stock	United States	Consumer Services	Real Estate Investment Trusts
MG	ADC Therapeutics SA Common Shares		Health Care	Major Pharmaceuticals
IAE	Advanced Emissions Solutions Inc. Common Stock	United States	Basic Industries	Major Chemicals
GDL	Analog Devices Inc. Common Stock	United States	Technology	Semiconductors
GATO	Adial Pharmaceuticals Inc Common Stock	United States	Health Care	Major Pharmaceuticals
CAKE	Archer-Daniels-Midland Company Common Stock	United States	Consumer Non-Durables	Packaged Foods
PEG	ADMA Biologics Inc Common Stock	United States	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
JACK	Adamis Pharmaceuticals Corporation Common Stock	United States	Health Care	Major Pharmaceuticals
OPRX	Adamas Pharmaceuticals Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
IIM	Adient plc Ordinary Shares		Capital Goods	Auto Parts:O.E.M.
ARNC	Edoc Acquisition Corp. Class A Ordinary Share	United States	Finance	Business Services
BCS	Automatic Data Processing Inc. Common Stock	United States	Technology	EDP Services
WOR	Adaptive Biotechnologies Corporation Common Stock	United States	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
LBTYK	Alliance Data Systems Corporation Common Stock	United States	Miscellaneous	Business Services
FSLY	Autodesk Inc. Common Stock	United States	Technology	Computer Software: Prepackaged Software
IRBT	ADT Inc. Common Stock	United States	Consumer Services	Diversified Commercial Services
VINP	ADTRAN Inc. Common Stock	United States	Public Utilities	Telecommunications Equipment
GRBK	ADiTx Therapeutics Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
LPTH	Addus HomeCare Corporation Common Stock	United States	Health Care	Medical/Nursing Services
FRTA	Advantage Solutions Inc. Class A Common Stock	United States	Miscellaneous	Business Services
RICK	Adverum Biotechnologies Inc. Common Stock	United States	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
MTRN	Adams Diversified Equity Fund Inc.	United States		
LOPE	Addex Therapeutics Ltd American Depositary Shares	Switzerland	Health Care	Major Pharmaceuticals
DYN	Advaxis Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
YJ	Adams Resources & Energy Inc. Common Stock	United States	Energy	Oil Refining/Marketing
XOMA	Ameren Corporation Common Stock	United States	Public Utilities	Power Generation
GOSS	Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock	United States		
KAR	AEGON N.V. Common Stock	Netherlands	Finance	Life Insurance
C	Aegion Corp Common Stock	United States	Basic Industries	Water Supply
VIVO	Antelope Enterprise Holdings Limited Common Stock (0.024 par)	China	Capital Goods	Building Materials
TSRI	Aehr Test Systems Common Stock	United States	Capital Goods	Electrical Products
SYNL	Advanced Energy Industries Inc. Common Stock	United States	Capital Goods	Industrial Machinery/Components
UE	American Equity Investment Life Holding Company Common Stock	United States	Finance	Life Insurance
STNE	Agnico Eagle Mines Limited Common Stock	Canada	Basic Industries	Precious Metals
DGNR	Aethlon Medical Inc. Common Stock	United States	Health Care	Medical/Dental Instruments
EXPR	Aenza S.A.A. American Depositary Shares		Basic Industries	Military/Government/Technical
GMBL	American Eagle Outfitters Inc. Common Stock	United States	Consumer Services	Clothing/Shoe/Accessory Stores
CNBKA	American Electric Power Company Inc. Common Stock	United States	Public Utilities	Electric Utilities: Central
VRTX	AerCap Holdings N.V. Ordinary Shares	Netherlands	Technology	Diversified Commercial Services
TESS	Aerie Pharmaceuticals Inc. Common Stock	United States	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
NVIV	The AES Corporation Common Stock	United States	Basic Industries	Electric Utilities: Central
ZIXI	Allied Esports Entertainment Inc. Common Stock	United States	Consumer Services	Services-Misc. Amusement & Recreation
VCVC	ADDvantage Technologies Group Inc. Common Stock	United States	Consumer Services	Office Equipment/Supplies/Services
UBOH	AudioEye Inc. Common Stock	United States	Technology	Computer Software: Prepackaged Software
NRT	Aeterna Zentaris Inc. Common Stock	Canada	Health Care	Major Pharmaceuticals
INSW	AllianceBernstein National Municipal Income Fund Inc	United States		
ITRI	American Financial Group Inc. Common Stock	United States	Finance	Property-Casualty Insurers
FFBW	American Financial Group Inc. 5.125% Subordinated Debentures due 2059	United States	Finance	Property-Casualty Insurers
SUNW	Armstrong Flooring Inc. Common Stock		Consumer Non-Durables	Plastic Products
EXN	Acutus Medical Inc. Common Stock	United States	Health Care	Medical/Dental Instruments
EVER	American Finance Trust Inc. Class A Common Stock	United States	Consumer Services	Real Estate Investment Trusts
CRF	AFLAC Incorporated Common Stock	United States	Finance	Accident &Health Insurance
ONEW	Affimed N.V.	Germany	Health Care	Major Pharmaceuticals
DSGX	Affirm Holdings Inc. Class A Common Stock	United States	Miscellaneous	Business Services
PSEC	Apollo Senior Floating Rate Fund Inc. Common Stock			
SEIC	Afya Limited Class A Common Shares	Brazil	Consumer Services	Other Consumer Services
BKT	First Majestic Silver Corp. Ordinary Shares (Canada)	Canada	Basic Industries	Precious Metals
MCA	AGBA Acquisition Limited Ordinary Share	Hong Kong	Finance	Business Services
GEN	Altimeter Growth Corp. Class A Ordinary Shares	United States	Finance	Business Services
ATNI	Altimeter Growth Corp. 2 Class A Ordinary Shares		Finance	Business Services
MCHP	AGCO Corporation Common Stock	United States	Capital Goods	Industrial Machinery/Components
GEOS	Aberdeen Global Dynamic Dividend Fund	United States		
MSD	AgeX Therapeutics Inc. Common Stock		Health Care	Major Pharmaceuticals
GFL	Agenus Inc. Common Stock	United States	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
FIZZ	AgroFresh Solutions Inc. Common Stock	United States	Basic Industries	Agricultural Chemicals
INBK	Agrify Corporation Common Stock	United States	Consumer Non-Durables	Farming/Seeds/Milling
INSI	Alamos Gold Inc. Class A Common Shares	Canada	Basic Industries	Precious Metals
CLBK	Agios Pharmaceuticals Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
VERB	Aeglea BioTherapeutics Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
PAE	Federal Agricultural Mortgage Corporation Common Stock	United States	Finance	Finance Companies
JKS	AGM Group Holdings Inc. Class A Ordinary Shares	Hong Kong	Technology	EDP Services
RIG	AGNC Investment Corp. Common Stock	United States	Consumer Services	Real Estate Investment Trusts
INMD	Assured Guaranty Ltd. Common Stock	Bermuda	Finance	Property-Casualty Insurers
VRSK	Avangrid Inc. Common Stock	United States	Public Utilities	Electric Utilities: Central
BCPC	Adecoagro S.A. Common Shares	Luxembourg	Consumer Non-Durables	Farming/Seeds/Milling
TDG	Agile Therapeutics Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
OMI	PlayAGS Inc. Common Stock	United States	Consumer Durables	Miscellaneous manufacturing industries
MNPR	Applied Genetic Technologies Corporation Common Stock	United States	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
VIRT	Argan Inc. Common Stock	United States	Basic Industries	Engineering & Construction
UNIT	Agilysys Inc. Common Stock	United States	Technology	EDP Services
NVEC	Alpha Healthcare Acquisition Corp. Class A Common Stock	United States	Finance	Business Services
BOSC	A.H. Belo Corporation (TX) Common Stock	United States	Consumer Services	Newspapers/Magazines
ELOX	AdaptHealth Corp. Class A Common Stock	United States	Health Care	Medical/Nursing Services
SBR	Armada Hoffler Properties Inc. Common Stock	United States	Finance	Real Estate
UNP	Allied Healthcare Products Inc. Common Stock	United States	Health Care	Industrial Specialties
CZR	Ashford Hospitality Trust Inc Common Stock	United States	Consumer Services	Real Estate Investment Trusts
TGB	C3.ai Inc. Class A Common Stock		Technology	Computer Software: Prepackaged Software
IT	American International Group Inc. New Common Stock	United States	Finance	Property-Casualty Insurers
LXP	Aesthetic Medical International Holdings Group Ltd. American Depositary Shares	China	Health Care	Medical Specialities
ACHC	Senmiao Technology Limited Common Stock	China	Finance	Finance: Consumer Services
INOV	AIkido Pharma Inc. Common Stock	United States	Health Care	Biotechnology: Commercial Physical & Biological Resarch
TLRY	AIM ImmunoTech Inc. Common Stock	United States	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
SHO	Altra Industrial Motion Corp. Common Stock	United States	Capital Goods	Industrial Machinery/Components
PETZ	Albany International Corporation Common Stock	United States	Basic Industries	Textiles
BBQ	Ashford Inc. (Holding Company) Common Stock	United States	Consumer Services	Professional Services
HZO	Apollo Investment Corporation Common Stock	United States		
CASA	Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares			
NYMX	AAR Corp. Common Stock	United States	Capital Goods	Aerospace
SWAV	Apartment Income REIT Corp. Common Stock	United States	Consumer Services	Real Estate Investment Trusts
CTRE	Airgain Inc. Common Stock	United States	Technology	Radio And Television Broadcasting And Communications Equipment
WTER	Air Industries Group Common Stock	United States	Capital Goods	Military/Government/Technical
ENDP	Air T Inc. Common Stock	United States	Transportation	Air Freight/Delivery Services
RNG	Applied Industrial Technologies Inc. Common Stock	United States	Consumer Durables	Industrial Specialties
ORN	Apartment Investment and Management Company Common Stock	United States	Consumer Services	Real Estate Investment Trusts
CASS	Assurant Inc. Common Stock	United States	Finance	Property-Casualty Insurers
CSIQ	Ajax I Class A Ordinary Shares	United States	Finance	Business Services
FNWB	Arthur J. Gallagher & Co. Common Stock	United States	Finance	Specialty Insurers
SNDE	Aerojet Rocketdyne Holdings Inc. Common Stock	United States	Capital Goods	Military/Government/Technical
MMM	Great Ajax Corp. Common Stock	United States	Consumer Services	Real Estate Investment Trusts
TOT	Akamai Technologies Inc. Common Stock	United States	Miscellaneous	Business Services
WWD	Akebia Therapeutics Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
TRNO	Akers Biosciences Inc. Common Stock	United States	Health Care	Biotechnology: In Vitro & In Vivo Diagnostic Substances
MDWD	Acadia Realty Trust Common Stock	United States	Consumer Services	Real Estate Investment Trusts
WAB	Akero Therapeutics Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
HGSH	Akoustis Technologies Inc. Common Stock	United States	Public Utilities	Telecommunications Equipment
CIEN	Akari Therapeutics plc ADR (0.01 USD)	United Kingdom	Health Care	Major Pharmaceuticals
OC	Akumin Inc. Common Shares	Canada	Health Care	Medical Specialities
MX	Akouos Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
NCSM	Air Lease Corporation Class A Common Stock	United States	Technology	Diversified Commercial Services
YY	Alberton Acquisition Corporation Ordinary Shares	Hong Kong	Finance	Business Services
SBH	Albemarle Corporation Common Stock	United States	Basic Industries	Major Chemicals
TDY	Albireo Pharma Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
AAL	Alcon Inc. Ordinary Shares	Switzerland	Health Care	Ophthalmic Goods
CGNT	Alico Inc. Common Stock	United States	Consumer Non-Durables	Farming/Seeds/Milling
SBNY	Aldeyra Therapeutics Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
LEU	Allete Inc.	United States	Public Utilities	Power Generation
BRO	Alector Inc. Common Stock	United States	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
EZGO	Alexander & Baldwin Inc. Common Stock REIT Holding Company	United States	Consumer Services	Real Estate Investment Trusts
AUPH	Alamo Group Inc. Common Stock	United States	Capital Goods	Industrial Machinery/Components
PLUG	Allegro MicroSystems Inc. Common Stock	United States	Technology	Semiconductors
CUK	Align Technology Inc. Common Stock	United States	Health Care	Industrial Specialties
WLL	Aligos Therapeutics Inc. Common Stock	United States	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
SCM	Allegiant Travel Company Common Stock	United States	Transportation	Air Freight/Delivery Services
KLXE	Alimera Sciences Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
EQX	ALJ Regional Holdings Inc. Common Stock	United States	Miscellaneous	Business Services
RMR	Alaska Air Group Inc. Common Stock	United States	Transportation	Air Freight/Delivery Services
TIRX	Alkermes plc Ordinary Shares	Ireland	Health Care	Major Pharmaceuticals
NUAN	Allstate Corporation (The) Common Stock	United States	Finance	Property-Casualty Insurers
PNR	Allegion plc Ordinary Shares	United States	Consumer Services	Diversified Commercial Services
MHD	Allakos Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
WLKP	Allogene Therapeutics Inc. Common Stock	United States	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
AHT	Allot Ltd. Ordinary Shares	Israel	Technology	Computer Communications Equipment
ITRN	Ally Financial Inc. Common Stock	United States	Finance	Major Banks
VMW	Allena Pharmaceuticals Inc. Common Stock	United States	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
MXE	Alnylam Pharmaceuticals Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
HMLP	AstroNova Inc. Common Stock	United States	Technology	Computer peripheral equipment
GLU	Alpine Immune Sciences Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
WWR	Alarm.com Holdings Inc. Common Stock	United States	Technology	Computer Software: Prepackaged Software
SEDG	Aileron Therapeutics Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
NBEV	Alerus Financial Corporation Common Stock	United States	Finance	Major Banks
ADES	Alaska Communications Systems Group Inc. Common Stock	United States	Public Utilities	Telecommunications Equipment
CRTD	Allison Transmission Holdings Inc. Common Stock	United States	Capital Goods	Auto Parts:O.E.M.
PGEN	Altimmune Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
LCTX	Altabancorp Common Stock	United States	Finance	Major Banks
MFD	Alta Equipment Group Inc. Class A Common Stock		Capital Goods	Industrial Machinery/Components
ROP	Altus Midstream Company Class A Common Stock	United States	Public Utilities	Natural Gas Distribution
AEGN	Alto Ingredients Inc. Common Stock	United States	Basic Industries	Major Chemicals
EURN	Altair Engineering Inc. Class A Common Stock	United States	Technology	Computer Software: Prepackaged Software
PRS	Alussa Energy Acquisition Corp. Class A Ordinary Shares		Finance	Business Services
KOP	Autoliv Inc. Common Stock	Sweden	Capital Goods	Auto Parts:O.E.M.
LUNA	AlloVir Inc. Common Stock	United States	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
SPXC	Alexander's Inc. Common Stock	United States	Consumer Services	Real Estate Investment Trusts
VHI	Alexion Pharmaceuticals Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
IRMD	ALX Oncology Holdings Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
LSTR	Alithya Group inc. Class A Subordinate Voting Shares	Canada	Technology	Computer Software: Programming Data Processing
BR	Antero Midstream Corporation Common Stock	United States	Public Utilities	Natural Gas Distribution
GPRO	Amalgamated Bank Class A Common Stock	United States	Consumer Non-Durables	Textiles
DEI	Applied Materials Inc. Common Stock	United States	Technology	Semiconductors
ZTS	Ambarella Inc. Ordinary Shares	United States	Technology	Semiconductors
APLE	Ambac Financial Group Inc. Common Stock	United States	Finance	Property-Casualty Insurers
STON	Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares	China	Consumer Services	Other Consumer Services
MSN	AMC Entertainment Holdings Inc. Class A Common Stock		Consumer Services	Movies/Entertainment
AESE	AMCI Acquisition Corp. Class A Common Stock	United States	Miscellaneous	Industrial Machinery/Components
SSKN	Amcor plc Ordinary Shares		Consumer Durables	Miscellaneous manufacturing industries
VAR	AMC Networks Inc. Class A Common Stock	United States	Consumer Services	Television Services
AMWL	Advanced Micro Devices Inc. Common Stock	United States	Technology	Semiconductors
GOAC	AMETEK Inc.	United States	Capital Goods	Industrial Machinery/Components
LPLA	Amedisys Inc Common Stock	United States	Health Care	Medical/Nursing Services
UEIC	Apollo Medical Holdings Inc. Common Stock	United States	Consumer Services	Professional Services
ATCO	Affiliated Managers Group Inc. Common Stock	United States	Finance	Investment Managers
RTP	Amgen Inc. Common Stock	United States	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
PSTI	American Homes 4 Rent Common Shares of Beneficial Interest	United States	Consumer Services	Real Estate Investment Trusts
ALPN	Amplitude Healthcare Acquisition Corporation Class A Common Stock	United States	Finance	Business Services
BUD	AssetMark Financial Holdings Inc. Common Stock	United States	Finance	Investment Managers
FTIV	Amkor Technology Inc. Common Stock	United States	Technology	Semiconductors
BDC	AMN Healthcare Services Inc AMN Healthcare Services Inc	United States	Technology	Professional Services
CHN	American National Bankshares Inc. Common Stock	United States	Finance	Major Banks
ICE	Allied Motion Technologies Inc.	United States	Capital Goods	Electrical Products
RLH	America Movil S.A.B. de C.V. Class A American Depositary Shares	Mexico	Public Utilities	Telecommunications Equipment
JRO	Ameriprise Financial Inc. Common Stock	United States	Finance	Investment Managers
CAC	Ampio Pharmaceuticals Inc.	United States	Health Care	Major Pharmaceuticals
GRTS	Amphastar Pharmaceuticals Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
BSMX	Amplify Energy Corp. Common Stock	United States	Energy	Oil & Gas Production
NVG	American River Bankshares Common Stock	United States	Finance	Major Banks
FURY	Ameresco Inc. Class A Common Stock	United States	Basic Industries	Engineering & Construction
CLPR	A-Mark Precious Metals Inc. Common Stock	United States	Basic Industries	Other Specialty Stores
TTP	Amarin Corporation plc	Ireland	Health Care	Major Pharmaceuticals
TCFC	Amyris Inc. Common Stock	United States	Basic Industries	Major Chemicals
AZEK	Amneal Pharmaceuticals Inc. Class A Common Stock		Health Care	Major Pharmaceuticals
MEC	American Shared Hospital Services Common Stock	United States	Health Care	Medical Specialities
WNS	American Superconductor Corporation Common Stock	United States	Consumer Durables	Metal Fabrications
IMGN	AMERISAFE Inc. Common Stock	United States	Finance	Property-Casualty Insurers
CANF	Amesite Inc. Common Stock	United States	Technology	Computer Software: Prepackaged Software
RDY	American Software Inc. Class A Common Stock	United States	Technology	Computer Software: Prepackaged Software
APLT	American Tower Corporation (REIT) Common Stock	United States	Consumer Services	Real Estate Investment Trusts
DAVA	Amerant Bancorp Inc. Class A Common Stock	United States	Finance	Major Banks
RPAY	Amerant Bancorp Inc. Class B Common Stock	United States	Finance	Major Banks
LGL	Applied Molecular Transport Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
ROK	Aemetis Inc. Common Stock	United States	Basic Industries	Major Chemicals
PRTS	American Woodmark Corporation Common Stock	United States	Basic Industries	Forest Products
BTO	American Well Corporation Class A Common Stock	United States	Miscellaneous	Business Services
FCCY	America Movil S.A.B. de C.V. American Depository Receipt Series L	Mexico	Public Utilities	Telecommunications Equipment
TLSA	Amryt Pharma plc American Depositary Shares	United Kingdom	Health Care	Major Pharmaceuticals
OXFD	Amazon.com Inc. Common Stock	United States	Consumer Services	Catalog/Specialty Distribution
EML	AutoNation Inc. Common Stock	United States	Consumer Durables	Automotive Aftermarket
SI	AnaptysBio Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
PSMT	American National Group Inc. Common Stock	United States	Finance	Life Insurance
ACMR	Anchiano Therapeutics Ltd. American Depositary Share	Israel	Health Care	Major Pharmaceuticals
UBFO	Andina Acquisition Corp. III Ordinary Shares	United States	Finance	Business Services
GGN	Andersons Inc. (The) Common Stock	United States	Consumer Services	Farming/Seeds/Milling
EVY	Arista Networks Inc. Common Stock	United States	Technology	Computer Communications Equipment
RYAM	Abercrombie & Fitch Company Common Stock	United States	Consumer Services	Clothing/Shoe/Accessory Stores
RUHN	ANGI Homeservices Inc. Class A Common Stock	United States	Consumer Services	Advertising
HI	AngioDynamics Inc. Common Stock	United States	Health Care	Medical/Dental Instruments
CRTO	Anworth Mortgage Asset Corporation Common Stock	United States	Consumer Services	Real Estate Investment Trusts
CENX	Anika Therapeutics Inc. Common Stock	United States	Health Care	Medical/Dental Instruments
CIH	ANI Pharmaceuticals Inc.	United States	Health Care	Major Pharmaceuticals
RGEN	Anixa Biosciences Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
USM	Annexon Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
BRP	AnPac Bio-Medical Science Co. Ltd. American Depositary Shares	China	Health Care	Medical Specialities
BBF	ANSYS Inc. Common Stock	United States	Technology	Computer Software: Prepackaged Software
SMTS	AirNet Technology Inc. American Depositary Shares	China	Technology	Advertising
MOSY	Anthem Inc. Common Stock	United States	Health Care	Medical Specialities
GMED	Annovis Bio Inc. Common Stock	United States	Health Care	Major Pharmaceuticals
FAT	Sphere 3D Corp. Common Shares	Canada	Technology	EDP Services
FAF	Aberdeen Total Dynamic Dividend Fund Common Stock	United States		
PHUN	Aon plc Class A Ordinary Shares (Ireland)	United States	Finance	Specialty Insurers
FCF	one Class A Ordinary Shares	United States	Finance	Business Services
DEX	A.O. Smith Corporation Common Stock	United States	Consumer Durables	Consumer Electronics/Appliances
WBT	Alpha and Omega Semiconductor Limited Common Shares	Bermuda	Technology	Semiconductors
PDEX	American Outdoor Brands Inc. Common Stock	United States	Capital Goods	Ordnance And Accessories
MYF	Ampco-Pittsburgh Corporation Common Stock	United States	Capital Goods	Fluid Controls
MRSN	Apache Corporation Common Stock	United States	Energy	Oil & Gas Production
CEPU	Artisan Partners Asset Management Inc. Class A Common Stock	United States	Finance	Investment Managers
IGT	Air Products and Chemicals Inc. Common Stock	United States	Basic Industries	Major Chemicals
ETM	Applied DNA Sciences Inc. Common Stock	United States	Consumer Services	Other Consumer Services
TPC	American Public Education Inc. Common Stock	United States	Consumer Services	Other Consumer Services
GPRE	Apollo Endosurgery Inc. Common Stock	United States	Health Care	Medical/Dental Instruments
CMBM	APi Group Corporation Common Stock		Basic Industries	Engineering & Construction
BQ	Amphenol Corporation Common Stock	United States	Capital Goods	Electrical Products
ATI	Aphria Inc. Common Shares	Canada	Consumer Durables	Specialty Chemicals
HYFM	Agora Inc. American Depositary Shares	China	Technology	Computer Software: Prepackaged Software
