BROG,Brooge Energy Limited Ordinary Shares,United Kingdom,Energy,Integrated oil Companies
KEQU,Kewaunee Scientific Corporation Common Stock,United States,Capital Goods,Medical Specialities
ITIC,Investors Title Company Common Stock,United States,Finance,Specialty Insurers
SLN,Silence Therapeutics Plc American Depository Share,United Kingdom,Health Care,Major Pharmaceuticals
RBKB,Rhinebeck Bancorp Inc. Common Stock,United States,Finance,Banks
HSON,Hudson Global Inc. Common Stock,United States,Technology,Professional Services
MLVF,Malvern Bancorp Inc. Common Stock,United States,Finance,Savings Institutions
FMY,First Trust Motgage Income Fund Common Shares of Beneficial Interest,United States,,
IGIC,International General Insurance Holdings Ltd. Ordinary Share,Jordan,Finance,Specialty Insurers
LTRPB,Liberty TripAdvisor Holdings Inc. Series B Common Stock,United States,Technology,EDP Services
FSEA,First Seacoast Bancorp Common Stock,United States,Finance,Savings Institutions
BATL,Battalion Oil Corporation Common Stock,,Energy,Oil & Gas Production
UNB,Union Bankshares Inc. Common Stock,United States,Finance,Major Banks
NYV,Nuveen New York Municipal Value Fund 2 Common Shares of Beneficial Interest,United States,,
FSFG,First Savings Financial Group Inc. Common Stock,United States,Finance,Savings Institutions
AMRB,American River Bankshares Common Stock,United States,Finance,Major Banks
DISCB,Discovery Inc. Series B Common Stock,United States,Consumer Services,Television Services
JCTCF,Jewett-Cameron Trading Company Common Shares,United States,Consumer Services,RETAIL: Building Materials
NCSM,NCS Multistage Holdings Inc. Common Stock,United States,Energy,Oilfield Services/Equipment
MDWT,Midwest Holding Inc. Common Stock,United States,Finance,Life Insurance
BELFA,Bel Fuse Inc. Class A Common Stock,United States,Capital Goods,Electrical Products
DJCO,Daily Journal Corp. (S.C.) Common Stock,United States,Consumer Services,Newspapers/Magazines
INDT,INDUS Realty Trust Inc. (MD) Common Stock,United States,Finance,Real Estate
BHV,BlackRock Virginia Municipal Bond Trust,United States,,
PAIC,Petra Acquisition Inc. Common Stock,United States,Finance,Business Services
PNRG,PrimeEnergy Resources Corporation Common Stock,United States,Energy,Oil & Gas Production
BCOW,1895 Bancorp of Wisconsin Inc. Common Stock,United States,Finance,Banks
KFFB,Kentucky First Federal Bancorp Common Stock,United States,Finance,Savings Institutions
FUSB,First US Bancshares Inc. Common Stock,United States,Finance,Major Banks
INTG,Intergroup Corporation (The) Common Stock,United States,Consumer Services,Building operators
GRCY,Greencity Acquisition Corporation Ordinary Shares,China,Finance,Business Services
GCBC,Greene County Bancorp Inc. Common Stock,United States,Finance,Banks
EDTXU,EdtechX Holdings Acquisition Corp. II Unit,United Kingdom,Finance,Business Services
RAND,Rand Capital Corporation Common Stock,United States,Finance,Finance: Consumer Services
COFS,ChoiceOne Financial Services Inc. Common Stock,United States,Finance,Major Banks
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,United States,Finance,Business Services
CXH,MFS Investment Grade Municipal Trust Common Stock,United States,,
PBY,Prospect Capital Corporation 6.25% Notes due 2028,United States,,
CPHC,Canterbury Park Holding Corporation 'New' Common Stock,United States,Consumer Services,Services-Misc. Amusement & Recreation
PLBC,Plumas Bancorp,United States,Finance,Finance Companies
NMS,Nuveen Minnesota Quality Municipal Income Fund,United States,,
PBHC,Pathfinder Bancorp Inc. Common Stock (MD),United States,Finance,Major Banks
MSVB,Mid-Southern Bancorp Inc. Common Stock,United States,Finance,Savings Institutions
FEIM,Frequency Electronics Inc. Common Stock,United States,Capital Goods,Electrical Products
FORTY,Formula Systems (1985) Ltd. American Depositary Shares,Israel,Technology,EDP Services
EGF,Blackrock Enhanced Government Fund Inc. Common Stock,United States,,
ARDS,Aridis Pharmaceuticals Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
KINS,Kingstone Companies Inc. Common Stock,United States,Finance,Property-Casualty Insurers
SMTI,Sanara MedTech Inc. Common Stock,United States,Health Care,Industrial Specialties
MTEX,Mannatech Incorporated Common Stock,United States,Consumer Durables,Specialty Chemicals
IROQ,IF Bancorp Inc. Common Stock,United States,Finance,Savings Institutions
SVBI,Severn Bancorp Inc,United States,Finance,Major Banks
OVBC,Ohio Valley Banc Corp. Common Stock,United States,Finance,Major Banks
STND,Standard AVB Financial Corp. Common Stock,United States,Finance,Major Banks
PMVC,PMV Consumer Acquisition Corp. Class A Common Stock,United States,Finance,Business Services
NODK,NI Holdings Inc. Common Stock,United States,Finance,Property-Casualty Insurers
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,United States,,
BSBK,Bogota Financial Corp. Common Stock,United States,Finance,Banks
CIZN,Citizens Holding Company Common Stock,United States,Finance,Major Banks
AGBA,AGBA Acquisition Limited Ordinary Share,Hong Kong,Finance,Business Services
FMAO,Farmers & Merchants Bancorp Inc. Common Stock,United States,Finance,Savings Institutions
MACU,Mallard Acquisition Corp. Common stock,United States,Finance,Business Services
IMOS,ChipMOS TECHNOLOGIES INC. American Depositary Shares,Taiwan,Technology,Semiconductors
PFIS,Peoples Financial Services Corp. Common Stock,United States,Finance,Major Banks
LAWS,Lawson Products Inc. Common Stock,United States,Consumer Durables,Industrial Specialties
PUYI,Puyi Inc. American Depository Shares,China,Finance,Investment Managers
CHN,China Fund Inc. (The) Common Stock,United States,,
FFNW,First Financial Northwest Inc. Common Stock,United States,Finance,Major Banks
NOM,Nuveen Missouri Quality Municipal Income Fund,United States,,
NWLI,National Western Life Group Inc. Class A Common Stock,United States,Finance,Life Insurance
ARL,American Realty Investors Inc. Common Stock,United States,Finance,Real Estate
NXN,Nuveen New York Select Tax-Free Income Portfolio Common Stock,United States,,
AUBN,Auburn National Bancorporation Inc. Common Stock,United States,Finance,Major Banks
WILC,G. Willi-Food International  Ltd. Ordinary Shares,Israel,Consumer Non-Durables,Food Distributors
USLM,United States Lime & Minerals Inc. Common Stock,United States,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CWBC,Community West Bancshares Common Stock,United States,Finance,Major Banks
SGA,Saga Communications Inc. Class A Common Stock (FL),United States,Consumer Services,Broadcasting
JEQ,Aberdeen Japan Equity Fund Inc.  Common Stock,United States,,
GLTO,Galecto Inc. Common Stock,Denmark,Health Care,Major Pharmaceuticals
OTRA,OTR Acquisition Corp. Class A Common Stock,United States,Finance,Business Services
JHAA,Nuveen Corporate Income 2023 Target Term Fund,,,
BRID,Bridgford Foods Corporation Common Stock,United States,Consumer Non-Durables,Specialty Foods
BH,Biglari Holdings Inc. Class B Common Stock,United States,Consumer Services,Restaurants
OPT,Opthea Limited American Depositary Shares,Australia,,
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,United States,Finance,Property-Casualty Insurers
ATRI,Atrion Corporation Common Stock,United States,Health Care,Medical/Dental Instruments
TTP,Tortoise Pipeline & Energy Fund Inc. Common Stock,United States,,
NCB,Nuveen California Municipal Value Fund 2 Common Shares of Beneficial Interest,United States,,
CEE,The Central and Eastern Europe Fund Inc. (The) Common Stock,United States,,
SYTA,Siyata Mobile Inc. Common Shares,Canada,Public Utilities,Telecommunications Equipment
FBSS,Fauquier Bankshares Inc. Common Stock,United States,Finance,Major Banks
CFFI,C&F Financial Corporation Common Stock,United States,Finance,Major Banks
VEL,Velocity Financial Inc. Common Stock,,Finance,Finance: Consumer Services
HLG,Hailiang Education Group Inc. American Depositary Shares,China,Consumer Services,Other Consumer Services
CELC,Celcuity Inc. Common Stock,United States,Health Care,Medical Specialities
STRS,Stratus Properties Inc. Common Stock,United States,Consumer Services,Homebuilding
HIFS,Hingham Institution for Savings Common Stock,United States,,
CFBK,CF Bankshares Inc. Common Stock,United States,Finance,Major Banks
OFLX,Omega Flex Inc. Common Stock,United States,Capital Goods,Industrial Specialties
PHAR,Pharming Group N.V. ADS each representing 10 ordinary shares,Netherlands,Health Care,Major Pharmaceuticals
EFF,Eaton vance Floating-Rate Income Plus Fund Common Shares of Beneficial Interest,,,
PLPC,Preformed Line Products Company Common Stock,United States,Basic Industries,Water Supply
OPOF,Old Point Financial Corporation Common Stock,United States,Finance,Major Banks
NRP,Natural Resource Partners LP Limited Partnership,United States,Energy,Coal Mining
ACNB,ACNB Corporation Common Stock,United States,Finance,Major Banks
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),Brazil,Finance,Major Banks
SAL,Salisbury Bancorp Inc. Common Stock,United States,Finance,Savings Institutions
FRPH,FRP Holdings Inc. Common Stock,United States,Finance,Real Estate
ORPH,Orphazyme A/S American Depositary Shares,Denmark,Health Care,Major Pharmaceuticals
ERYP,Erytech Pharma S.A. American Depositary Shares,France,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PEBK,Peoples Bancorp of North Carolina Inc. Common Stock,United States,Finance,Major Banks
LARK,Landmark Bancorp Inc. Common Stock,United States,Finance,Major Banks
MYFW,First Western Financial Inc. Common Stock,United States,Finance,Major Banks
WSTG,Wayside Technology Group Inc. Common Stock,United States,Technology,Retail: Computer Software & Peripheral Equipment
CHMG,Chemung Financial Corp Common Stock,United States,Finance,Major Banks
FFBW,FFBW Inc. Common Stock (MD),United States,Finance,Savings Institutions
NIM,Nuveen Select Maturities Municipal Fund Common Stock,United States,,
NBTX,Nanobiotix S.A. American Depositary Shares,France,Health Care,Major Pharmaceuticals
SWKH,SWK Holdings Corporation Common Stock,United States,Finance,Diversified Financial Services
NBA,New Beginnings Acquisition Corp. Common Stock,,Finance,Business Services
WHLM,Wilhelmina International Inc. Common Stock,United States,Consumer Services,Professional Services
UBCP,United Bancorp Inc. Common Stock,United States,Finance,Major Banks
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Hong Kong,Technology,EDP Services
NATH,Nathan's Famous Inc. Common Stock,United States,Consumer Services,Restaurants
FSBW,FS Bancorp Inc. Common Stock,United States,Finance,Banks
OVLY,Oak Valley Bancorp (CA) Common Stock,United States,Finance,Major Banks
PTNR,Partner Communications Company Ltd. American Depositary Shares,Israel,Public Utilities,Telecommunications Equipment
SYNL,Synalloy Corporation Common Stock,United States,Basic Industries,Steel/Iron Ore
NXR,Nuveen Select Tax Free Income Portfolio III Common Stock,United States,,
OTEL,Otelco Inc. Class A Common Stock,United States,Public Utilities,Telecommunications Equipment
AE,Adams Resources & Energy Inc. Common Stock,United States,Energy,Oil Refining/Marketing
MPB,Mid Penn Bancorp Common Stock,United States,Finance,Major Banks
BWFG,Bankwell Financial Group Inc. Common Stock,United States,Finance,Major Banks
SMMF,Summit Financial Group Inc. Common Stock,United States,Finance,Major Banks
VPV,Invesco Pennsylvania Value Municipal Income Trust Common Stock (DE),United States,,
PAI,Western Asset Investment Grade Income Fund Inc.,United States,,
BSVN,Bank7 Corp. Common stock,United States,Finance,Major Banks
HCAP,Harvest Capital Credit Corporation Common Stock,United States,,
NUO,Nuveen Ohio Quality Municipal Income Fund Common Stock,United States,,
TAYD,Taylor Devices Inc. Common Stock,United States,Capital Goods,Industrial Machinery/Components
JHS,John Hancock Income Securities Trust Common Stock,United States,,
HKIB,AMTD International Inc. American Depositary Shares each representing one Class A Ordinary Share,,Finance,Finance: Consumer Services
HWBK,Hawthorn Bancshares Inc. Common Stock,United States,Finance,Major Banks
RRBI,Red River Bancshares Inc. Common Stock,United States,Finance,Major Banks
GB,Global Blue Group Holding AG Ordinary Shares,,Technology,EDP Services
ACU,Acme United Corporation. Common Stock,United States,Capital Goods,Industrial Machinery/Components
PBIP,Prudential Bancorp Inc. Common Stock,United States,Finance,Banks
EVY,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,United States,,
GLEO,Galileo Acquisition Corp. Ordinary Shares,,Finance,Business Services
KF,Korea Fund Inc. (The) New Common Stock,United States,,
UG,United-Guardian Inc. Common Stock,United States,Consumer Non-Durables,Package Goods/Cosmetics
EEA,The European Equity Fund Inc. Common Stock,United States,,
ICBK,County Bancorp Inc. Common Stock,United States,Finance,Major Banks
SMIT,Schmitt Industries Inc. Common Stock,United States,Capital Goods,Industrial Machinery/Components
COHN,Cohen & Company Inc.,United States,Finance,Investment Bankers/Brokers/Service
NREF,NexPoint Real Estate Finance Inc. Common Stock,,Consumer Services,Real Estate Investment Trusts
AAMC,Altisource Asset Management Corp Com,United States,Finance,Real Estate
VNCE,Vince Holding Corp. Common Stock,,Consumer Services,Clothing/Shoe/Accessory Stores
RACA,Therapeutics Acquisition Corp. Class A Common Stock,United States,Finance,Business Services
BKSC,Bank of South Carolina Corp. Common Stock,United States,Finance,Major Banks
BZM,BlackRock Maryland Municipal Bond Trust Common shares of beneficial interest,United States,,
BENE,Benessere Capital Acquisition Corp. Class A Common Stock,United States,Finance,Business Services
NDP,Tortoise Energy Independence Fund Inc. Common Stock,United States,,
TWIN,Twin Disc Incorporated Common Stock,United States,Technology,Industrial Machinery/Components
ESQ,Esquire Financial Holdings Inc. Common Stock,United States,Finance,Commercial Banks
NTIP,Network-1 Technologies Inc. Common Stock,United States,Miscellaneous,Multi-Sector Companies
CNBKA,Century Bancorp Inc. Class A Common Stock,United States,Finance,Major Banks
NXC,Nuveen California Select Tax-Free Income Portfolio Common Stock,United States,,
FGBI,First Guaranty Bancshares Inc. Common Stock,United States,Finance,Savings Institutions
FNLC,First Bancorp Inc  (ME) Common Stock,United States,Finance,Major Banks
SMBC,Southern Missouri Bancorp Inc. Common Stock,United States,Finance,Banks
PDLB,PDL Community Bancorp Common Stock,United States,Finance,Savings Institutions
JMM,Nuveen Multi-Market Income Fund (MA),United States,,
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,United States,,
FNWB,First Northwest Bancorp Common Stock,United States,Finance,Banks
ZEAL,Zealand Pharma A/S American Depositary Shares,Denmark,Health Care,Major Pharmaceuticals
MSC,Studio City International Holdings Limited American depositary shares each representing four  Class A ordinary shares,,Consumer Services,Hotels/Resorts
CVLY,Codorus Valley Bancorp Inc Common Stock,United States,Finance,Savings Institutions
AZYO,Aziyo Biologics Inc. Class A Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IHC,Independence Holding Company Common Stock,United States,Finance,Life Insurance
CBMB,CBM Bancorp Inc. Common Stock,United States,Finance,Savings Institutions
VBFC,Village Bank and Trust Financial Corp. Common Stock,United States,Finance,Major Banks
NSYS,Nortech Systems Incorporated Common Stock,United States,Capital Goods,Industrial Machinery/Components
BTAQU,Burgundy Technology Acquisition Corporation Unit,Cayman Islands,Finance,Business Services
PFO,Flaherty & Crumrine Preferred and Income Opportunity Fund Incorporated,United States,,
RGT,Royce Global Value Trust Inc. Common Stock,,,
PTSI,P.A.M. Transportation Services Inc. Common Stock,United States,Transportation,Trucking Freight/Courier Services
GWAC,Good Works Acquisition Corp. Common Stock,United States,Finance,Business Services
RNDB,Randolph Bancorp Inc. Common Stock,United States,Finance,Major Banks
SPLP,Steel Partners Holdings LP LTD PARTNERSHIP UNIT,United States,Capital Goods,Industrial Specialties
TWN,Taiwan Fund Inc. (The) Common Stock,United States,,
NHLD,National Holdings Corporation Common Stock,United States,Finance,Investment Bankers/Brokers/Service
NNY,Nuveen New York Municipal Value Fund Inc. Common Stock,United States,,
ALX,Alexander's Inc. Common Stock,United States,Consumer Services,Real Estate Investment Trusts
ATTO,Atento S.A. Ordinary Shares,,Public Utilities,Telecommunications Equipment
BANX,StoneCastle Financial Corp Common Stock,United States,,
HBCP,Home Bancorp Inc. Common Stock,United States,Finance,Banks
DDMX,DD3 Acquisition Corp. II Class A Common Stock,Mexico,Finance,Business Services
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares,Mexico,Public Utilities,Telecommunications Equipment
AC,Associated Capital Group Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service
BBQ,BBQ Holdings Inc. Common Stock,United States,Consumer Services,Restaurants
FUNC,First United Corporation Common Stock,United States,Finance,Major Banks
UTMD,Utah Medical Products Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
RDCM,Radcom Ltd. Ordinary Shares,Israel,Technology,Computer peripheral equipment
RGCO,RGC Resources Inc. Common Stock,United States,Public Utilities,Oil & Gas Production
EQS,Equus Total Return Inc. Common Stock,United States,,
SBFG,SB Financial Group Inc. Common Stock,United States,Finance,Major Banks
IHTA,Invesco High Income 2024 Target Term Fund Common Shares of Beneficial Interest No par value per share,,,
EVBN,Evans Bancorp Inc. Common Stock,United States,Finance,Major Banks
BRBS,Blue Ridge Bankshares Inc. Common Stock,,Finance,Major Banks
ALOT,AstroNova Inc. Common Stock,United States,Technology,Computer peripheral equipment
IKNX,Ikonics Corporation,United States,Miscellaneous,Industrial Machinery/Components
WLFC,Willis Lease Finance Corporation Common Stock,United States,Consumer Durables,Industrial Specialties
MOR,MorphoSys AG American Depositary Shares,Germany,Health Care,Major Pharmaceuticals
AENZ,Aenza S.A.A. American Depositary Shares,,Basic Industries,Military/Government/Technical
INSI,Insight Select Income Fund,United States,,
VTRU,Vitru Limited Common Shares,Brazil,Consumer Services,Other Consumer Services
MCBS,MetroCity Bankshares Inc. Common Stock,United States,Finance,Major Banks
EMCF,Emclaire Financial Corp Common Stock,United States,Finance,Major Banks
RUSHB,Rush Enterprises Inc. Class B,United States,Consumer Durables,Automotive Aftermarket
BKTI,BK Technologies Corporation Common Stock,United States,Technology,Radio And Television Broadcasting And Communications Equipment
MNP,Western Asset Municipal Partners Fund Inc. Common Stock,United States,,
BSD,BlackRock Strategic Municipal Trust Inc. (The) Common Stock,United States,,
BRLI,Brilliant Acquisition Corporation Ordinary Shares,China,Finance,Business Services
AINC,Ashford Inc. (Holding Company) Common Stock,United States,Consumer Services,Professional Services
CVCY,Central Valley Community Bancorp Common Stock,United States,Finance,Major Banks
NHA,Nuveen Municipal 2021 Target Term Fund Fund,United States,,
GFED,Guaranty Federal Bancshares Inc. Common Stock,United States,Finance,Major Banks
MFD,Macquarie First Trust Global Common Stock,United States,,
BFC,Bank First Corporation Common Stock,United States,Finance,Major Banks
CBAN,Colony Bankcorp Inc. Common Stock,United States,Finance,Major Banks
CMCT,CIM Commercial Trust Corporation Common stock,United States,Consumer Services,Real Estate Investment Trusts
PROV,Provident Financial Holdings Inc. Common Stock,United States,Finance,Savings Institutions
CEO,CNOOC Limited Common Stock,Hong Kong,Energy,Oil & Gas Production
MUS,Blackrock MuniHoldings Quality Fund Inc Common Stock,United States,,
SSBI,Summit State Bank Common Stock,United States,,
TACT,TransAct Technologies Incorporated Common Stock,United States,Technology,Computer peripheral equipment
CSPI,CSP Inc. Common Stock,United States,Technology,EDP Services
VFL,Delaware Investments National Municipal Income Fund Common Stock,United States,,
LACQ,Leisure Acquisition Corp. Common Stock,United States,Finance,Business Services
DMF,BNY Mellon Municipal Income Inc. Common Stock,United States,,
ATLO,Ames National Corporation Common Stock,United States,Finance,Major Banks
UFPT,UFP Technologies Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
SZC,Cushing NextGen Infrastructure Income Fund Common Shares of Beneficial Interest,,,
MHE,BlackRock Massachusetts Tax-Exempt Trust,United States,,
NIQ,Nuveenn Intermediate Duration Quality Municipal Term Fund Common Shares of Beneficial Interest,,,
PMBC,Pacific Mercantile Bancorp Common Stock,United States,Finance,Major Banks
PFX,PhenixFIN Corporation Common Stock,United States,,
ISDR,Issuer Direct Corporation Common Stock,United States,Miscellaneous,Publishing
FRLN,Freeline Therapeutics Holdings plc American Depositary Shares,United Kingdom,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NUZE,NuZee Inc. Common Stock,United States,Consumer Services,Other Specialty Stores
CHCI,Comstock Holding Companies Inc. Class A Common Stock,United States,Finance,Real Estate
EML,Eastern Company (The) Common Stock,United States,Capital Goods,Industrial Machinery/Components
SGAM,Seaport Global Acquisition Corp. Class A Common Stock,United States,Finance,Business Services
LANDM,Gladstone Land Corporation 5.00% Series D Cumulative Term Preferred Stock,United States,Consumer Services,Real Estate Investment Trusts
BUFF,Innovator Laddered Fund of S&P 500 Power Buffer ETFs,,,
ENPC,Executive Network Partnering Corporation Class A Common Stock,,Finance,Business Services
AMOT,Allied Motion Technologies Inc.,United States,Capital Goods,Electrical Products
XTLB,XTL Biopharmaceuticals Ltd. American Depositary Shares,Israel,Health Care,Major Pharmaceuticals
JPT,Nuveen Preferred and Income 2022 Term Fund Common Shares of Beneficial Interest,United States,,
WVVI,Willamette Valley Vineyards Inc. Common Stock,United States,Consumer Non-Durables,Beverages (Production/Distribution)
SAMG,Silvercrest Asset Management Group Inc. Class A Common Stock,United States,Finance,Investment Managers
GLBZ,Glen Burnie Bancorp Common Stock,United States,Finance,Major Banks
CET,Central Securities Corporation Common Stock,United States,,
IIF,Morgan Stanley India Investment Fund Inc. Common Stock,United States,,
GTIP,Goldman Sachs Access Inflation Protected USD Bond ETF,,,
CYAD,Celyad Oncology SA American Depositary Shares,Belgium,Health Care,Major Pharmaceuticals
RZLT,Rezolute Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
PNF,PIMCO New York Municipal Income Fund Common Stock,United States,,
WTM,White Mountains Insurance Group Ltd. Common Stock,United States,Finance,Property-Casualty Insurers
BWAY,Brainsway Ltd. American Depositary Shares,Israel,Health Care,Medical/Dental Instruments
GGZ,Gabelli Global Small and Mid Cap Value Trust (The) Common Shares of Beneficial Interest,,,
MTT,Western Asset Municipal Defined Opportunity Trust Inc Common Stock,United States,,
LUMO,Lumos Pharma Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
VHI,Valhi Inc. Common Stock,United States,Basic Industries,Major Chemicals
LGL,LGL Group Inc. (The) Common Stock,United States,Capital Goods,Industrial Machinery/Components
PBFS,Pioneer Bancorp Inc. Common Stock,United States,Finance,Banks
CYAN,Cyanotech Corporation Common Stock,United States,Consumer Durables,Specialty Chemicals
DAIO,Data I/O Corporation Common Stock,United States,Capital Goods,Electrical Products
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,United States,Consumer Services,Real Estate Investment Trusts
HPK,HighPeak Energy Inc. Common Stock,United States,Energy,Oil & Gas Production
NAZ,Nuveen Arizona Quality Municipal Income Fund Common Stock,United States,,
AMNB,American National Bankshares Inc. Common Stock,United States,Finance,Major Banks
GRX,The Gabelli Healthcare & Wellness Trust Common Shares of Beneficial Interest,United States,,
NCBS,Nicolet Bankshares Inc. Common Stock,United States,Finance,Major Banks
AXR,AMREP Corporation Common Stock,United States,Consumer Services,Newspapers/Magazines
PTK,PTK Acquisition Corp. Common Stock,United States,Finance,Business Services
JMP,JMP Group LLC Common Shares,United States,Finance,Investment Bankers/Brokers/Service
NPV,Nuveen Virginia Quality Municipal Income Fund Common Stock,United States,,
PVBC,Provident Bancorp Inc. (MD) Common Stock,United States,Finance,Savings Institutions
LMST,Limestone Bancorp Inc. Common Stock,United States,Finance,Major Banks
CCAP,Crescent Capital BDC Inc. Common stock,United States,,
FCCY,1st Constitution Bancorp (NJ) Common Stock,United States,Finance,Savings Institutions
KRBP,Kiromic BioPharma Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CHAQ,Chardan Healthcare Acquisition 2 Corp. Common Stock,,Finance,Business Services
VBF,Invesco Bond Fund Common Stock,United States,,
NMMC,North Mountain Merger Corp. Class A Common Stock,United States,Finance,Business Services
MFT,Blackrock MuniYield Investment Quality Fund Common Shares of Beneficial Interest,United States,,
AIRT,Air T Inc. Common Stock,United States,Transportation,Air Freight/Delivery Services
ZGYH,Yunhong International Class A Ordinary Shares,China,Finance,Business Services
PWOD,Penns Woods Bancorp Inc. Common Stock,United States,Finance,Major Banks
GBL,Gamco Investors Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service
PESI,Perma-Fix Environmental Services Inc. Common Stock,United States,Basic Industries,Environmental Services
